submitted,648434: I am confident I can succeed in this module.,648435: I feel connected with other students and teaching staff on this module.,"648436: I believe I am contributing to and engaging effectively with the module (for instance, participating in discussions and other learning activities)",648437: At this stage in the module I understand how my learning will be assessed on thismodule,648445: How often did you attend COMP313 with live polling quizzes? And how often did you attend other modules without live polling quizzes?,648446: Did the live polling quizzes help you better understand the lecture material?,648447: Did the live polling quizzes help you stay engaged during the lecture?,648448: Did you feel more motivated to participate in in-person lectures when live polling quizzes were used?,648449: Did the live polling quizzes encourage you to study more outside of class?,648450: Were the instructions for using the live polling software (itemtool.com) clear and easy to follow?,648451: Did the live polling quizzes help you identify areas where you needed to focus your study efforts?,648452: Do you believe that live polling quizzes should be used more frequently in lectures?
2023-05-31 22:59:59 UTC,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,very often; and very often.,Yes,Yes,Yes,Not sure,Not sure,Not sure,Not sure
2023-03-30 09:05:51 UTC,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,very often; and not often.,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
2023-03-23 14:55:12 UTC,Agree,Strongly Agree,Strongly Agree,Strongly Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-22 12:41:24 UTC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-21 17:16:39 UTC,Agree,Agree,Agree,Agree,very often; and not often.,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes
2023-03-21 12:09:52 UTC,Neither Agree Nor Disagree,Strongly Agree,Neither Agree Nor Disagree,Agree,very often; and not often.,Yes,Yes,Not sure,Not sure,Not sure,Yes,Yes
2023-03-21 12:09:04 UTC,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,very often; and very often.,Yes,Yes,Yes,Not sure,Yes,Yes,Not sure
2023-03-15 15:52:21 UTC,Agree,Strongly Agree,Neither Agree Nor Disagree,Agree,not often; and not often.,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure
2023-03-15 11:15:06 UTC,Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,No,Yes,Yes,Not sure
2023-03-15 11:04:59 UTC,Disagree,Disagree,Neither Agree Nor Disagree,Agree,not often; and not often.,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 11:04:44 UTC,Neither Agree Nor Disagree,Agree,Strongly Agree,Agree,very often; and not often.,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes
2023-03-15 11:04:16 UTC,Neither Agree Nor Disagree,Agree,Agree,Neither Agree Nor Disagree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
2023-03-15 11:03:51 UTC,Agree,Agree,Neither Agree Nor Disagree,Strongly Agree,very often; and not often.,Yes,Yes,Yes,Not sure,Yes,Yes,Yes
2023-03-15 11:03:21 UTC,Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 11:01:25 UTC,Agree,Agree,Agree,Strongly Agree,very often; and not often.,Yes,Yes,Not sure,Not sure,Yes,Yes,Yes
2023-03-15 11:00:49 UTC,Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 10:59:17 UTC,Neither Agree Nor Disagree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 09:46:35 UTC,Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 09:37:46 UTC,Neither Agree Nor Disagree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 01:13:10 UTC,Agree,Agree,Agree,Agree,very often; and not often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-15 00:23:33 UTC,Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Not sure
2023-03-10 19:42:10 UTC,Agree,Neither Agree Nor Disagree,Agree,Agree,not often; and very often.,Yes,Not sure,Not sure,Not sure,Yes,Yes,Yes
2023-03-09 21:49:21 UTC,Agree,Strongly Agree,Strongly Agree,Agree,very often; and very often.,Yes,Yes,Yes,Not sure,Not sure,Yes,Yes
2023-03-09 12:19:01 UTC,Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-09 12:03:47 UTC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very often; and not often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-09 12:02:40 UTC,Agree,Agree,Agree,Agree,very often; and not often.,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
2023-03-09 12:01:50 UTC,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2023-03-09 11:30:19 UTC,Strongly Agree,Agree,Agree,Agree,very often; and very often.,Yes,Yes,Yes,Yes,Yes,Yes,No
