time,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
2023-05-31 22:59:59 UTC,1,0,0,1,0,,1,1,1,0,0,0
2023-03-30 09:05:51 UTC,0,0,0,1,1,1,1,1,1,1,1,0
2023-03-23 14:55:12 UTC,1,2,2,2,0,1,1,1,1,1,1,1
2023-03-22 12:41:24 UTC,2,2,2,2,0,1,1,1,1,1,1,1
2023-03-21 17:16:39 UTC,1,1,1,1,1,1,1,0,0,1,1,1
2023-03-21 12:09:52 UTC,0,2,0,1,1,1,1,0,0,0,1,1
2023-03-21 12:09:04 UTC,0,1,0,1,0,1,1,1,0,1,1,0
2023-03-15 15:52:21 UTC,1,2,0,1,0,1,0,1,1,1,1,0
2023-03-15 11:15:06 UTC,1,1,1,1,0,1,1,1,-1,1,1,0
2023-03-15 11:04:59 UTC,-1,-1,0,1,0,0,1,1,1,1,1,1
2023-03-15 11:04:44 UTC,0,1,2,1,1,1,0,1,0,1,1,1
2023-03-15 11:04:16 UTC,0,1,1,0,0,1,1,1,1,1,1,0
2023-03-15 11:03:51 UTC,1,1,0,2,1,1,1,1,0,1,1,1
2023-03-15 11:03:21 UTC,1,1,1,1,0,1,1,1,1,1,1,1
2023-03-15 11:01:25 UTC,1,1,1,2,1,1,1,0,0,1,1,1
2023-03-15 11:00:49 UTC,1,1,1,1,0,1,1,1,1,1,1,1
2023-03-15 10:59:17 UTC,0,1,1,1,0,1,1,1,1,1,1,1
2023-03-15 09:46:35 UTC,1,1,1,1,0,1,1,1,1,1,1,1
2023-03-15 09:37:46 UTC,0,1,1,1,0,1,1,1,1,1,1,1
2023-03-15 01:13:10 UTC,1,1,1,1,1,1,1,1,1,1,1,1
2023-03-15 00:23:33 UTC,1,1,1,1,0,1,1,1,1,1,1,0
2023-03-10 19:42:10 UTC,1,0,1,1,-1,1,0,0,0,1,1,1
2023-03-09 21:49:21 UTC,1,2,2,1,0,1,1,1,0,0,1,1
2023-03-09 12:19:01 UTC,1,1,1,1,0,1,1,1,1,1,1,1
2023-03-09 12:03:47 UTC,2,2,2,2,1,1,1,1,1,1,1,1
2023-03-09 12:02:40 UTC,1,1,1,1,1,0,0,0,0,0,0,0
2023-03-09 12:01:50 UTC,2,2,2,2,0,1,1,1,1,1,1,1
2023-03-09 11:30:19 UTC,2,1,1,1,0,1,1,1,1,1,1,-1
